,Daily New Cases,,owid-covid-data.csv,,,,,Monthly Unempolyment Rate,,,,,Government Response Index,,,,,,,Containment Health Index,,,,,,,Economic Support Index,,,,,,Stringency Index,,
,https://github.com/owid/covid-19-data/tree/master/public/data,,,,,,Region,Singapore,United Kingdom,United States,,,https://github.com/OxCGRT/covid-policy-tracker/tree/master/data/timeseries,,,,,,,,,,,,,,,,,,,,,,
Date,Singapore,United Kingdom,United States,,,,01/2020,2.4,3.9,3.5,,,Singapore,United Kingdom,United States,,,,,Singapore,United Kingdom,United States,,,,,Singapore,United Kingdom,United States,,,,Singapore,United Kingdom,United States
2020/9/7,22,2953,23613,,,,,,,,,2020/9/7,61.98,65.1,64.58,,,,2020/9/7,56.55,60.12,64.88,,,,2020/9/7,100,100,62.5,,,2020/9/7,50.93,64.35,67.13
2020/9/8,47,2481,27226,,,,,,,,,2020/9/8,61.98,65.1,64.58,,,,2020/9/8,56.55,60.12,64.88,,,,2020/9/8,100,100,62.5,,,2020/9/8,50.93,64.35,67.13
2020/9/9,75,2681,34049,,,,,,,,,2020/9/9,61.98,65.1,64.58,,,,2020/9/9,56.55,60.12,64.88,,,,2020/9/9,100,100,62.5,,,2020/9/9,50.93,64.35,67.13
2020/9/10,63,2931,36056,,,,,,,,,2020/9/10,61.98,65.1,64.58,,,,2020/9/10,56.55,60.12,64.88,,,,2020/9/10,100,100,62.5,,,2020/9/10,50.93,64.35,67.13
2020/9/11,86,3544,47769,,,,,,,,,2020/9/11,61.98,65.1,64.58,,,,2020/9/11,56.55,60.12,64.88,,,,2020/9/11,100,100,62.5,,,2020/9/11,50.93,64.35,67.13
2020/9/12,42,3504,41101,,,,,,,,,2020/9/12,61.98,65.1,61.98,,,,2020/9/12,56.55,60.12,61.9,,,,2020/9/12,100,100,62.5,,,2020/9/12,50.93,64.35,62.5
2020/9/13,49,3338,34372,,,,,,,,,2020/9/13,61.98,65.1,61.98,,,,2020/9/13,56.55,60.12,61.9,,,,2020/9/13,100,100,62.5,,,2020/9/13,50.93,64.35,62.5
2020/9/14,48,2625,34423,,,,,,,,,2020/9/14,61.98,65.89,61.98,,,,2020/9/14,56.55,61.01,61.9,,,,2020/9/14,100,100,62.5,,,2020/9/14,50.93,65.74,62.5
2020/9/15,34,3115,39492,,,,,,,,,2020/9/15,61.98,65.89,61.98,,,,2020/9/15,56.55,61.01,61.9,,,,2020/9/15,100,100,62.5,,,2020/9/15,50.93,65.74,62.5
2020/9/16,26,4007,39030,,,,,,,,,2020/9/16,61.98,65.89,61.98,,,,2020/9/16,56.55,61.01,61.9,,,,2020/9/16,100,100,62.5,,,2020/9/16,50.93,65.74,62.5
2020/9/17,18,3410,45130,,,,,,,,,2020/9/17,61.98,65.89,61.98,,,,2020/9/17,56.55,61.01,61.9,,,,2020/9/17,100,100,62.5,,,2020/9/17,50.93,65.74,62.5
2020/9/18,11,4329,49282,,,,,,,,,2020/9/18,61.98,65.89,61.98,,,,2020/9/18,56.55,61.01,61.9,,,,2020/9/18,100,100,62.5,,,2020/9/18,50.93,65.74,62.5
2020/9/19,15,4429,42202,,,,,,,,,2020/9/19,61.98,65.89,61.98,,,,2020/9/19,56.55,61.01,61.9,,,,2020/9/19,100,100,62.5,,,2020/9/19,50.93,65.74,62.5
2020/9/20,18,3899,38447,,,,,,,,,2020/9/20,61.98,65.89,61.98,,,,2020/9/20,56.55,61.01,61.9,,,,2020/9/20,100,100,62.5,,,2020/9/20,50.93,65.74,62.5
2020/9/21,30,4378,51878,,,,,,,,,2020/9/21,61.98,65.89,61.98,,,,2020/9/21,56.55,61.01,61.9,,,,2020/9/21,100,100,62.5,,,2020/9/21,50.93,65.74,62.5
2020/9/22,21,4936,39866,,,,,,,,,2020/9/22,61.98,65.89,61.98,,,,2020/9/22,56.55,61.01,61.9,,,,2020/9/22,100,100,62.5,,,2020/9/22,50.93,65.74,62.5
2020/9/23,12,6187,39069,,,,,,,,,2020/9/23,61.98,65.89,61.98,,,,2020/9/23,56.55,61.01,61.9,,,,2020/9/23,100,100,62.5,,,2020/9/23,50.93,65.74,62.5
2020/9/24,15,6644,47103,,,,,,,,,2020/9/24,61.98,66.93,61.98,,,,2020/9/24,56.55,62.2,61.9,,,,2020/9/24,100,100,62.5,,,2020/9/24,50.93,67.59,62.5
2020/9/25,11,6878,48295,,,,,,,,,2020/9/25,61.98,66.93,61.98,,,,2020/9/25,56.55,62.2,61.9,,,,2020/9/25,100,100,62.5,,,2020/9/25,50.93,67.59,62.5
2020/9/26,20,6050,44673,,,,,,,,,2020/9/26,61.98,66.93,61.98,,,,2020/9/26,56.55,62.2,61.9,,,,2020/9/26,100,100,62.5,,,2020/9/26,50.93,67.59,62.5
2020/9/27,15,5700,37528,,,,,,,,,2020/9/27,61.98,66.93,61.98,,,,2020/9/27,56.55,62.2,61.9,,,,2020/9/27,100,100,62.5,,,2020/9/27,50.93,67.59,62.5
2020/9/28,15,4056,33294,,,,,,,,,2020/9/28,61.98,66.93,61.98,,,,2020/9/28,56.55,62.2,61.9,,,,2020/9/28,100,100,62.5,,,2020/9/28,50.93,67.59,62.5
2020/9/29,27,7156,43338,,,,,,,,,2020/9/29,61.98,66.93,61.98,,,,2020/9/29,56.55,62.2,61.9,,,,2020/9/29,100,100,62.5,,,2020/9/29,50.93,67.59,62.5
2020/9/30,23,7117,39443,,,,,,,,,2020/9/30,61.98,66.93,61.98,,,,2020/9/30,56.55,62.2,61.9,,,,2020/9/30,100,100,62.5,,,2020/9/30,50.93,67.59,62.5
2020/10/1,19,6929,45650,,,,,,,,,2020/10/1,58.85,66.93,61.98,,,,2020/10/1,52.98,62.2,61.9,,,,2020/10/1,100,100,62.5,,,2020/10/1,45.37,67.59,62.5
2020/10/2,10,6994,54950,,,,,,,,,2020/10/2,58.85,66.93,61.98,,,,2020/10/2,52.98,62.2,61.9,,,,2020/10/2,100,100,62.5,,,2020/10/2,45.37,67.59,62.5
2020/10/3,6,12885,48577,,,,,,,,,2020/10/3,58.85,66.93,61.98,,,,2020/10/3,52.98,62.2,61.9,,,,2020/10/3,100,100,62.5,,,2020/10/3,45.37,67.59,62.5
2020/10/4,12,22965,35738,,,,,,,,,2020/10/4,58.85,66.93,61.98,,,,2020/10/4,52.98,62.2,61.9,,,,2020/10/4,100,100,62.5,,,2020/10/4,45.37,67.59,62.5
2020/10/5,7,12603,39376,,,,,,,,,2020/10/5,58.85,66.93,61.98,,,,2020/10/5,52.98,62.2,61.9,,,,2020/10/5,100,100,62.5,,,2020/10/5,45.37,67.59,62.5
2020/10/6,11,14557,45289,,,,,,,,,2020/10/6,58.85,66.93,61.98,,,,2020/10/6,52.98,62.2,61.9,,,,2020/10/6,100,100,62.5,,,2020/10/6,45.37,67.59,62.5
2020/10/7,10,14173,51056,,,,,,,,,2020/10/7,58.85,66.93,61.98,,,,2020/10/7,52.98,62.2,61.9,,,,2020/10/7,100,100,62.5,,,2020/10/7,45.37,67.59,62.5
2020/10/8,9,17550,58599,,,,,,,,,2020/10/8,58.85,66.93,61.98,,,,2020/10/8,52.98,62.2,61.9,,,,2020/10/8,100,100,62.5,,,2020/10/8,45.37,67.59,62.5
2020/10/9,10,13888,56384,,,,,,,,,2020/10/9,58.85,66.93,61.98,,,,2020/10/9,52.98,62.2,61.9,,,,2020/10/9,100,100,62.5,,,2020/10/9,45.37,67.59,62.5
2020/10/10,7,15175,54953,,,,,,,,,2020/10/10,58.85,66.93,61.98,,,,2020/10/10,52.98,62.2,61.9,,,,2020/10/10,100,100,62.5,,,2020/10/10,45.37,67.59,62.5
2020/10/11,10,12882,45981,,,,,,,,,2020/10/11,58.85,66.93,61.98,,,,2020/10/11,52.98,62.2,61.9,,,,2020/10/11,100,100,62.5,,,2020/10/11,45.37,67.59,62.5
2020/10/12,4,14011,41774,,,,,,,,,2020/10/12,58.85,62.76,61.98,,,,2020/10/12,52.98,57.44,61.9,,,,2020/10/12,100,100,62.5,,,2020/10/12,45.37,60.19,62.5
2020/10/13,4,17250,52231,,,,,,,,,2020/10/13,58.85,62.76,64.06,,,,2020/10/13,52.98,57.44,64.29,,,,2020/10/13,100,100,62.5,,,2020/10/13,45.37,60.19,66.2
2020/10/14,5,19751,59778,,,,,,,,,2020/10/14,58.85,63.54,64.06,,,,2020/10/14,52.98,58.33,64.29,,,,2020/10/14,100,100,62.5,,,2020/10/14,45.37,60.19,66.2
2020/10/15,3,18996,64880,,,,,,,,,2020/10/15,58.85,63.54,64.06,,,,2020/10/15,52.98,58.33,64.29,,,,2020/10/15,100,100,62.5,,,2020/10/15,45.37,60.19,66.2
2020/10/16,9,15657,69147,,,,,,,,,2020/10/16,58.85,63.54,64.06,,,,2020/10/16,52.98,58.33,64.29,,,,2020/10/16,100,100,62.5,,,2020/10/16,45.37,60.19,66.2
2020/10/17,3,16186,56759,,,,,,,,,2020/10/17,58.85,63.54,64.06,,,,2020/10/17,52.98,58.33,64.29,,,,2020/10/17,100,100,62.5,,,2020/10/17,45.37,60.19,66.2
2020/10/18,7,16994,49367,,,,,,,,,2020/10/18,58.85,63.54,64.06,,,,2020/10/18,52.98,58.33,64.29,,,,2020/10/18,100,100,62.5,,,2020/10/18,45.37,60.19,66.2
2020/10/19,4,18830,67717,,,,,,,,,2020/10/19,58.85,66.67,64.06,,,,2020/10/19,52.98,61.9,64.29,,,,2020/10/19,100,100,62.5,,,2020/10/19,45.37,65.74,66.2
2020/10/20,6,21365,61956,,,,,,,,,2020/10/20,58.85,66.67,64.06,,,,2020/10/20,52.98,61.9,64.29,,,,2020/10/20,100,100,62.5,,,2020/10/20,45.37,65.74,66.2
2020/10/21,12,26707,63301,,,,,,,,,2020/10/21,58.85,66.67,64.06,,,,2020/10/21,52.98,61.9,64.29,,,,2020/10/21,100,100,62.5,,,2020/10/21,45.37,65.74,66.2
2020/10/22,8,21257,76310,,,,,,,,,2020/10/22,58.85,67.71,64.06,,,,2020/10/22,52.98,63.1,64.29,,,,2020/10/22,100,100,62.5,,,2020/10/22,45.37,67.59,66.2
2020/10/23,10,20559,81933,,,,,,,,,2020/10/23,58.85,71.88,64.06,,,,2020/10/23,52.98,67.86,64.29,,,,2020/10/23,100,100,62.5,,,2020/10/23,45.37,75,66.2
2020/10/24,14,23033,82767,,,,,,,,,2020/10/24,58.85,71.88,64.06,,,,2020/10/24,52.98,67.86,64.29,,,,2020/10/24,100,100,62.5,,,2020/10/24,45.37,75,66.2
2020/10/25,5,19797,62204,,,,,,,,,2020/10/25,58.85,71.88,64.06,,,,2020/10/25,52.98,67.86,64.29,,,,2020/10/25,100,100,62.5,,,2020/10/25,45.37,75,66.2
2020/10/26,3,20900,67310,,,,,,,,,2020/10/26,58.85,71.88,61.98,,,,2020/10/26,52.98,67.86,61.9,,,,2020/10/26,100,100,62.5,,,2020/10/26,45.37,75,62.5
2020/10/27,7,22924,76838,,,,,,,,,2020/10/27,58.85,71.88,61.98,,,,2020/10/27,52.98,67.86,61.9,,,,2020/10/27,100,100,62.5,,,2020/10/27,45.37,75,62.5
2020/10/28,7,24714,79426,,,,,,,,,2020/10/28,58.85,71.88,61.98,,,,2020/10/28,52.98,67.86,61.9,,,,2020/10/28,100,100,62.5,,,2020/10/28,45.37,75,62.5
2020/10/29,7,23078,91019,,,,,,,,,2020/10/29,58.85,71.88,61.98,,,,2020/10/29,52.98,67.86,61.9,,,,2020/10/29,100,100,62.5,,,2020/10/29,45.37,75,62.5
2020/10/30,9,24418,99264,,,,,,,,,2020/10/30,58.85,71.88,61.98,,,,2020/10/30,52.98,67.86,61.9,,,,2020/10/30,100,100,62.5,,,2020/10/30,45.37,75,62.5
2020/10/31,12,21919,89754,,,,,,,,,2020/10/31,58.85,71.88,61.98,,,,2020/10/31,52.98,67.86,61.9,,,,2020/10/31,100,100,62.5,,,2020/10/31,45.37,75,62.5
2020/11/1,4,23261,104900,,,,,,,,,2020/11/1,58.85,71.88,61.98,,,,2020/11/1,52.98,67.86,61.9,,,,2020/11/1,100,100,62.5,,,2020/11/1,45.37,75,62.5
2020/11/2,1,18967,85211,,,,,,,,,2020/11/2,58.85,71.88,61.98,,,,2020/11/2,52.98,67.86,61.9,,,,2020/11/2,100,100,62.5,,,2020/11/2,45.37,75,62.5
2020/11/3,9,20078,127198,,,,,,,,,2020/11/3,58.85,71.88,61.98,,,,2020/11/3,52.98,67.86,61.9,,,,2020/11/3,100,100,62.5,,,2020/11/3,45.37,75,62.5
2020/11/4,7,25206,104541,,,,,,,,,2020/11/4,58.85,71.88,61.98,,,,2020/11/4,52.98,67.86,61.9,,,,2020/11/4,100,100,62.5,,,2020/11/4,45.37,75,62.5
2020/11/5,7,24164,129367,,,,,,,,,2020/11/5,58.85,71.88,61.98,,,,2020/11/5,52.98,67.86,61.9,,,,2020/11/5,100,100,62.5,,,2020/11/5,45.37,75,62.5
2020/11/6,4,23322,128033,,,,,,,,,2020/11/6,58.85,70.31,61.98,,,,2020/11/6,52.98,66.07,61.9,,,,2020/11/6,100,100,62.5,,,2020/11/6,45.37,72.22,62.5
2020/11/7,7,24979,127510,,,,,,,,,2020/11/7,58.85,70.31,61.98,,,,2020/11/7,52.98,66.07,61.9,,,,2020/11/7,100,100,62.5,,,2020/11/7,45.37,72.22,62.5
2020/11/8,2,20580,115170,,,,,,,,,2020/11/8,58.85,70.31,61.98,,,,2020/11/8,52.98,66.07,61.9,,,,2020/11/8,100,100,62.5,,,2020/11/8,45.37,72.22,62.5
2020/11/9,8,21397,120434,,,,,,,,,2020/11/9,58.85,67.19,63.54,,,,2020/11/9,52.98,62.5,63.69,,,,2020/11/9,100,100,62.5,,,2020/11/9,45.37,66.67,65.28
2020/11/10,9,20451,140504,,,,,,,,,2020/11/10,58.85,66.15,63.54,,,,2020/11/10,52.98,61.31,63.69,,,,2020/11/10,100,100,62.5,,,2020/11/10,45.37,64.81,65.28
2020/11/11,18,23000,146750,,,,,,,,,2020/11/11,58.85,66.15,63.54,,,,2020/11/11,52.98,61.31,63.69,,,,2020/11/11,100,100,62.5,,,2020/11/11,45.37,64.81,65.28
2020/11/12,11,33517,164750,,,,,,,,,2020/11/12,58.85,66.15,63.54,,,,2020/11/12,52.98,61.31,63.69,,,,2020/11/12,100,100,62.5,,,2020/11/12,45.37,64.81,65.28
2020/11/13,12,27316,180398,,,,,,,,,2020/11/13,58.85,66.15,63.54,,,,2020/11/13,52.98,61.31,63.69,,,,2020/11/13,100,100,62.5,,,2020/11/13,45.37,64.81,65.28
2020/11/14,2,26876,167926,,,,,,,,,2020/11/14,58.85,66.15,63.54,,,,2020/11/14,52.98,61.31,63.69,,,,2020/11/14,100,100,62.5,,,2020/11/14,45.37,64.81,65.28
2020/11/15,3,24977,136356,,,,,,,,,2020/11/15,58.85,66.15,63.54,,,,2020/11/15,52.98,61.31,63.69,,,,2020/11/15,100,100,62.5,,,2020/11/15,45.37,64.81,65.28
2020/11/16,5,21416,162624,,,,,,,,,2020/11/16,58.85,66.15,69.27,,,,2020/11/16,52.98,61.31,70.24,,,,2020/11/16,100,100,62.5,,,2020/11/16,45.37,64.81,75.46
2020/11/17,6,20060,163958,,,,,,,,,2020/11/17,58.85,66.15,69.27,,,,2020/11/17,52.98,61.31,70.24,,,,2020/11/17,100,100,62.5,,,2020/11/17,45.37,64.81,75.46
2020/11/18,5,19645,173251,,,,,,,,,2020/11/18,58.85,66.15,69.27,,,,2020/11/18,52.98,61.31,70.24,,,,2020/11/18,100,100,62.5,,,2020/11/18,45.37,64.81,75.46
2020/11/19,4,22936,191510,,,,,,,,,2020/11/19,58.85,66.15,69.27,,,,2020/11/19,52.98,61.31,70.24,,,,2020/11/19,100,100,62.5,,,2020/11/19,45.37,64.81,75.46
2020/11/20,4,20274,198333,,,,,,,,,2020/11/20,58.85,67.71,69.27,,,,2020/11/20,52.98,63.1,70.24,,,,2020/11/20,100,100,62.5,,,2020/11/20,45.37,67.59,75.46
2020/11/21,5,19921,179436,,,,,,,,,2020/11/21,58.85,67.71,69.27,,,,2020/11/21,52.98,63.1,70.24,,,,2020/11/21,100,100,62.5,,,2020/11/21,45.37,67.59,75.46
2020/11/22,12,18667,146947,,,,,,,,,2020/11/22,58.85,67.71,69.27,,,,2020/11/22,52.98,63.1,70.24,,,,2020/11/22,100,100,62.5,,,2020/11/22,45.37,67.59,75.46
2020/11/23,5,15465,174089,,,,,,,,,2020/11/23,58.85,67.71,69.27,,,,2020/11/23,52.98,63.1,70.24,,,,2020/11/23,100,100,62.5,,,2020/11/23,45.37,67.59,75.46
2020/11/24,18,11344,175544,,,,,,,,,2020/11/24,58.85,67.71,69.27,,,,2020/11/24,52.98,63.1,70.24,,,,2020/11/24,100,100,62.5,,,2020/11/24,45.37,67.59,75.46
2020/11/25,7,18261,183403,,,,,,,,,2020/11/25,58.85,67.71,69.27,,,,2020/11/25,52.98,63.1,70.24,,,,2020/11/25,100,100,62.5,,,2020/11/25,45.37,67.59,75.46
2020/11/26,5,17557,112526,,,,,,,,,2020/11/26,58.85,67.71,69.27,,,,2020/11/26,52.98,63.1,70.24,,,,2020/11/26,100,100,62.5,,,2020/11/26,45.37,67.59,75.46
2020/11/27,4,14821,207933,,,,,,,,,2020/11/27,58.85,67.71,69.27,,,,2020/11/27,52.98,63.1,70.24,,,,2020/11/27,100,100,62.5,,,2020/11/27,45.37,67.59,75.46
2020/11/28,6,15891,155661,,,,,,,,,2020/11/28,58.85,67.71,69.27,,,,2020/11/28,52.98,63.1,70.24,,,,2020/11/28,100,100,62.5,,,2020/11/28,45.37,67.59,75.46
2020/11/29,8,12164,140328,,,,,,,,,2020/11/29,58.85,67.71,69.27,,,,2020/11/29,52.98,63.1,70.24,,,,2020/11/29,100,100,62.5,,,2020/11/29,45.37,67.59,75.46
2020/11/30,5,12428,160321,,,,,,,,,2020/11/30,58.85,67.71,69.27,,,,2020/11/30,52.98,63.1,70.24,,,,2020/11/30,100,100,62.5,,,2020/11/30,45.37,67.59,75.46
2020/12/1,10,13497,188339,,,,,,,,,2020/12/1,58.85,67.71,69.27,,,,2020/12/1,52.98,63.1,70.24,,,,2020/12/1,100,100,62.5,,,2020/12/1,45.37,67.59,75.46
2020/12/2,2,16237,202894,,,,,,,,,2020/12/2,58.85,67.71,67.19,,,,2020/12/2,52.98,63.1,67.86,,,,2020/12/2,100,100,62.5,,,2020/12/2,45.37,67.59,71.76
2020/12/3,9,14951,223421,,,,,,,,,2020/12/3,58.85,65.62,67.19,,,,2020/12/3,52.98,60.71,67.86,,,,2020/12/3,100,100,62.5,,,2020/12/3,45.37,63.89,71.76
2020/12/4,3,16382,232644,,,,,,,,,2020/12/4,58.85,65.62,67.19,,,,2020/12/4,52.98,60.71,67.86,,,,2020/12/4,100,100,62.5,,,2020/12/4,45.37,63.89,71.76
2020/12/5,13,15579,215811,,,,,,,,,2020/12/5,58.85,65.62,67.19,,,,2020/12/5,52.98,60.71,67.86,,,,2020/12/5,100,100,62.5,,,2020/12/5,45.37,63.89,71.76
2020/12/6,5,17372,181253,,,,,,,,,2020/12/6,58.85,65.62,67.19,,,,2020/12/6,52.98,60.71,67.86,,,,2020/12/6,100,100,62.5,,,2020/12/6,45.37,63.89,71.76
2020/12/7,13,14774,194409,,,,,,,,,2020/12/7,58.85,65.62,67.19,,,,2020/12/7,52.98,60.71,67.86,,,,2020/12/7,100,100,62.5,,,2020/12/7,45.37,63.89,71.76
2020/12/8,12,12386,224452,,,,,,,,,2020/12/8,58.85,71.46,67.19,,,,2020/12/8,52.98,67.38,67.86,,,,2020/12/8,100,100,62.5,,,2020/12/8,45.37,67.59,71.76
2020/12/9,6,16634,222648,,,,,,,,,2020/12/9,58.85,71.46,67.19,,,,2020/12/9,52.98,67.38,67.86,,,,2020/12/9,100,100,62.5,,,2020/12/9,45.37,67.59,71.76
2020/12/10,6,21066,231428,,,,,,,,,2020/12/10,58.85,71.46,67.19,,,,2020/12/10,52.98,67.38,67.86,,,,2020/12/10,100,100,62.5,,,2020/12/10,45.37,67.59,71.76
2020/12/11,8,21784,240089,,,,,,,,,2020/12/11,58.85,71.46,67.19,,,,2020/12/11,52.98,67.38,67.86,,,,2020/12/11,100,100,62.5,,,2020/12/11,45.37,67.59,71.76
2020/12/12,8,21554,217797,,,,,,,,,2020/12/12,58.85,71.46,67.19,,,,2020/12/12,52.98,67.38,67.86,,,,2020/12/12,100,100,62.5,,,2020/12/12,45.37,67.59,71.76
2020/12/13,7,18541,187971,,,,,,,,,2020/12/13,58.85,71.46,67.19,,,,2020/12/13,52.98,67.38,67.86,,,,2020/12/13,100,100,62.5,,,2020/12/13,45.37,67.59,71.76
2020/12/14,5,20377,194314,,,,,,,,,2020/12/14,61.98,74.58,68.44,,,,2020/12/14,56.55,70.95,69.29,,,,2020/12/14,100,100,62.5,,,2020/12/14,50.93,73.15,71.76
2020/12/15,16,18569,208992,,,,,,,,,2020/12/15,61.98,74.58,68.44,,,,2020/12/15,56.55,70.95,69.29,,,,2020/12/15,100,100,62.5,,,2020/12/15,50.93,73.15,71.76
2020/12/16,12,25300,246644,,,,,,,,,2020/12/16,61.98,74.58,68.44,,,,2020/12/16,56.55,70.95,69.29,,,,2020/12/16,100,100,62.5,,,2020/12/16,50.93,73.15,71.76
2020/12/17,24,35532,239900,,,,,,,,,2020/12/17,61.98,74.58,68.44,,,,2020/12/17,56.55,70.95,69.29,,,,2020/12/17,100,100,62.5,,,2020/12/17,50.93,73.15,71.76
2020/12/18,9,28560,251832,,,,,,,,,2020/12/18,61.98,74.58,68.44,,,,2020/12/18,56.55,70.95,69.29,,,,2020/12/18,100,100,62.5,,,2020/12/18,50.93,73.15,71.76
2020/12/19,17,27249,192102,,,,,,,,,2020/12/19,61.98,76.67,68.44,,,,2020/12/19,56.55,73.33,69.29,,,,2020/12/19,100,100,62.5,,,2020/12/19,50.93,76.85,71.76
2020/12/20,19,36084,188015,,,,,,,,,2020/12/20,61.98,76.67,68.44,,,,2020/12/20,56.55,73.33,69.29,,,,2020/12/20,100,100,62.5,,,2020/12/20,50.93,76.85,71.76
2020/12/21,10,33517,198703,,,,,,,,,2020/12/21,61.98,76.67,68.44,,,,2020/12/21,56.55,73.33,69.29,,,,2020/12/21,100,100,62.5,,,2020/12/21,50.93,76.85,71.76
2020/12/22,29,36931,198107,,,,,,,,,2020/12/22,64.06,76.67,68.44,,,,2020/12/22,58.93,73.33,69.29,,,,2020/12/22,100,100,62.5,,,2020/12/22,50.93,76.85,71.76
2020/12/23,21,39387,229624,,,,,,,,,2020/12/23,64.06,76.67,68.44,,,,2020/12/23,58.93,73.33,69.29,,,,2020/12/23,100,100,62.5,,,2020/12/23,50.93,76.85,71.76
2020/12/24,13,39149,194155,,,,,,,,,2020/12/24,64.06,78.23,68.44,,,,2020/12/24,58.93,75.12,69.29,,,,2020/12/24,100,100,62.5,,,2020/12/24,50.93,79.63,71.76
2020/12/25,14,32803,97880,,,,,,,,,2020/12/25,64.06,75.89,68.44,,,,2020/12/25,58.93,72.44,69.29,,,,2020/12/25,100,100,62.5,,,2020/12/25,50.93,75.46,71.76
2020/12/26,10,34788,226416,,,,,,,,,2020/12/26,64.06,79.27,68.44,,,,2020/12/26,58.93,76.31,69.29,,,,2020/12/26,100,100,62.5,,,2020/12/26,50.93,79.63,71.76
2020/12/27,5,32493,155845,,,,,,,,,2020/12/27,64.06,79.27,68.44,,,,2020/12/27,58.93,76.31,69.29,,,,2020/12/27,100,100,62.5,,,2020/12/27,50.93,79.63,71.76
2020/12/28,5,41460,174152,,,,,,,,,2020/12/28,60.94,79.27,68.44,,,,2020/12/28,55.36,76.31,69.29,,,,2020/12/28,100,100,62.5,,,2020/12/28,45.37,79.63,71.76
2020/12/29,13,53275,200408,,,,,,,,,2020/12/29,60.94,79.27,68.44,,,,2020/12/29,55.36,76.31,69.29,,,,2020/12/29,100,100,62.5,,,2020/12/29,45.37,79.63,71.76
2020/12/30,27,50239,233701,,,,,,,,,2020/12/30,62.19,79.27,68.44,,,,2020/12/30,56.79,76.31,69.29,,,,2020/12/30,100,100,62.5,,,2020/12/30,45.37,79.63,71.76
2020/12/31,30,56029,235600,,,,,,,,,2020/12/31,62.19,79.27,68.44,,,,2020/12/31,56.79,76.31,69.29,,,,2020/12/31,100,100,62.5,,,2020/12/31,45.37,79.63,71.76
2021/1/1,30,53458,153916,,,,,,,,,2021/1/1,62.19,79.27,68.44,,,,2021/1/1,56.79,76.31,69.29,,,,2021/1/1,100,100,62.5,,,2021/1/1,45.37,79.63,71.76
2021/1/2,33,57853,300462,,,,,,,,,2021/1/2,62.19,79.27,68.44,,,,2021/1/2,56.79,76.31,69.29,,,,2021/1/2,100,100,62.5,,,2021/1/2,45.37,79.63,71.76
2021/1/3,35,55157,208853,,,,,,,,,2021/1/3,62.19,79.27,68.44,,,,2021/1/3,56.79,76.31,69.29,,,,2021/1/3,100,100,62.5,,,2021/1/3,45.37,79.63,71.76
2021/1/4,24,58923,184005,,,,,,,,,2021/1/4,62.19,79.27,68.44,,,,2021/1/4,56.79,76.31,69.29,,,,2021/1/4,100,100,62.5,,,2021/1/4,45.37,79.63,71.76
2021/1/5,28,61087,235042,,,,,,,,,2021/1/5,62.19,83.96,68.44,,,,2021/1/5,56.79,81.67,69.29,,,,2021/1/5,100,100,62.5,,,2021/1/5,45.37,87.96,71.76
2021/1/6,31,62556,255637,,,,,,,,,2021/1/6,62.19,83.96,68.44,,,,2021/1/6,56.79,81.67,69.29,,,,2021/1/6,100,100,62.5,,,2021/1/6,45.37,87.96,71.76
2021/1/7,33,52787,278337,,,,,,,,,2021/1/7,62.19,83.96,68.44,,,,2021/1/7,56.79,81.67,69.29,,,,2021/1/7,100,100,62.5,,,2021/1/7,45.37,87.96,71.76
2021/1/8,23,68192,295257,,,,,,,,,2021/1/8,62.19,83.96,68.44,,,,2021/1/8,56.79,81.67,69.29,,,,2021/1/8,100,100,62.5,,,2021/1/8,45.37,87.96,71.76
2021/1/9,29,60098,260967,,,,,,,,,2021/1/9,62.19,83.96,68.44,,,,2021/1/9,56.79,81.67,69.29,,,,2021/1/9,100,100,62.5,,,2021/1/9,45.37,87.96,71.76
2021/1/10,42,55026,213415,,,,,,,,,2021/1/10,62.19,83.96,68.44,,,,2021/1/10,56.79,81.67,69.29,,,,2021/1/10,100,100,62.5,,,2021/1/10,45.37,87.96,71.76
2021/1/11,22,46275,214664,,,,,,,,,2021/1/11,62.19,83.96,68.44,,,,2021/1/11,56.79,81.67,69.29,,,,2021/1/11,100,100,62.5,,,2021/1/11,45.37,87.96,71.76
2021/1/12,17,45648,226967,,,,,,,,,2021/1/12,62.19,83.96,68.44,,,,2021/1/12,56.79,81.67,69.29,,,,2021/1/12,100,100,62.5,,,2021/1/12,45.37,87.96,71.76
2021/1/13,38,47662,230301,,,,,,,,,2021/1/13,62.19,83.96,68.44,,,,2021/1/13,56.79,81.67,69.29,,,,2021/1/13,100,100,62.5,,,2021/1/13,45.37,87.96,71.76
2021/1/14,45,48804,235766,,,,,,,,,2021/1/14,62.19,83.96,68.44,,,,2021/1/14,56.79,81.67,69.29,,,,2021/1/14,100,100,62.5,,,2021/1/14,45.37,87.96,71.76
2021/1/15,30,55885,242780,,,,,,,,,2021/1/15,65.31,83.96,68.44,,,,2021/1/15,60.36,81.67,69.29,,,,2021/1/15,100,100,62.5,,,2021/1/15,50.93,87.96,71.76
2021/1/16,24,41428,201858,,,,,,,,,2021/1/16,65.31,83.96,68.44,,,,2021/1/16,60.36,81.67,69.29,,,,2021/1/16,100,100,62.5,,,2021/1/16,50.93,87.96,71.76
2021/1/17,30,38670,177931,,,,,,,,,2021/1/17,65.31,83.96,68.44,,,,2021/1/17,60.36,81.67,69.29,,,,2021/1/17,100,100,62.5,,,2021/1/17,50.93,87.96,71.76
